doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,魏延,pdf_01000000__01001013___2ec29dd171__char__800db0ccc5,10,26,0.5882,0.3562,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,张苞,pdf_01000000__01001013___2ec29dd171__char__d1322a2c4b,9,23,0.5294,0.3151,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,马遵,pdf_01000000__01001013___2ec29dd171__char__eaff73be93,6,29,0.3529,0.3973,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,马岱,pdf_01000000__01001013___2ec29dd171__char__8da3646268,6,15,0.3529,0.2055,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,刘禅,pdf_01000000__01001013___2ec29dd171__char__ace5cdd341,5,28,0.2941,0.3836,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,关兴,pdf_01000000__01001013___2ec29dd171__char__de5f22b6a8,5,15,0.2941,0.2055,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,报子,pdf_01000000__01001013___2ec29dd171__char__5f5102bccc,3,4,0.1765,0.0548,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,四绿龙套,pdf_01000000__01001013___2ec29dd171__char__075a1d1bc2,2,8,0.1176,0.1096,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,龙套,pdf_01000000__01001013___2ec29dd171__char__99a3217b90,2,6,0.1176,0.0822,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,内侍,pdf_01000000__01001013___2ec29dd171__char__8b29b2dc01,2,2,0.1176,0.0274,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,四红龙套,pdf_01000000__01001013___2ec29dd171__char__851149dbff,2,2,0.1176,0.0274,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,太监,pdf_01000000__01001013___2ec29dd171__char__f17251fa51,2,2,0.1176,0.0274,relations_aggregated
